      No    Time           Source                   Destination           Protocol Length   Info
    141 50.592461996   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=38/9728, ttl=64 (reply in 142)
    142 50.592593924   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=38/9728, ttl=64 (request in 141)
    143 50.959143776   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=1/256, ttl=64 (reply in 144)
    144 50.959512252   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=1/256, ttl=63 (request in 143)
    145 51.004441677   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=16/4096, ttl=64 (reply in 146)
    146 51.004570461   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=16/4096, ttl=64 (request in 145)
    147 51.612451709   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=39/9984, ttl=64 (reply in 148)
    148 51.612580354   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=39/9984, ttl=64 (request in 147)
    149 51.633712311   HewlettP_5a:7b:ea     HewlettP_61:2f:d4     ARP      60     Who has 172.16.40.1? Tell 172.16.40.254
    150 51.633722857   HewlettP_61:2f:d4     HewlettP_5a:7b:ea     ARP      42     172.16.40.1 is at 00:21:5a:61:2f:d4
    151 51.960452983   172.16.40.1           172.16.41.1           ICMP     98     Echo (ping) request  id=0x5f15, seq=2/512, ttl=64 (reply in 152)
    152 51.960721169   172.16.41.1           172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f15, seq=2/512, ttl=63 (request in 151)
    153 52.028456474   172.16.40.1           172.16.41.253         ICMP     98     Echo (ping) request  id=0x5f03, seq=17/4352, ttl=64 (reply in 154)
    154 52.028593570   172.16.41.253         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5f03, seq=17/4352, ttl=64 (request in 153)
    155 52.127246943   Cisco_d4:1c:04        Spanning-tree-(for-bridges)_00 STP      60     Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004
    156 52.636458544   172.16.40.1           172.16.40.254         ICMP     98     Echo (ping) request  id=0x5eed, seq=40/10240, ttl=64 (reply in 157)
    157 52.636593265   172.16.40.254         172.16.40.1           ICMP     98     Echo (ping) reply    id=0x5eed, seq=40/10240, ttl=64 (request in 156)
